session_id,suggestion_id,action,action_reason,confidence,latency_ms,target_power,target_freq,target_area,base_power,base_freq,base_area,actual_power,actual_freq,actual_area,delta_power,delta_freq,delta_area,pred_power,pred_freq,pred_area,pred_error_power,pred_error_freq,pred_error_area,fail_mode,action_alignment,rtl_kind,rtl_before_ref,rtl_after_ref,diff_ref,root_cause_hypothesis,rtl_before_abs,rtl_after_abs,rtl_before_exists,rtl_after_exists
sess_001b1c1b,sugg_1b16201e,reject,ppa_violation,0.67,3252,900.0,2200.0,12.0,943.18,2399.55,15.79,827.32,2609.91,13.14,-115.8599999999999,210.35999999999967,-2.6499999999999986,876.62,2303.8,13.69,49.299999999999955,-306.1099999999997,0.5499999999999989,FAIL_AREA,OK,pipeline_add,artifacts/sessions/sess_001b1c1b/rtl_before.sv,artifacts/sessions/sess_001b1c1b/rtl_after_sugg_1.sv,artifacts/sessions/sess_001b1c1b/rtl_diff_sugg_1.patch,AREA failure observed; RTL deltas weak → needs deeper RTL-aware analysis.,,,,
sess_00ea8382,sugg_1fa44ef4,modify,ppa_violation,0.84,4018,500.0,2600.0,6.0,719.98,3014.97,4.57,667.26,3250.17,3.99,-52.72000000000003,235.20000000000027,-0.5800000000000001,747.36,3214.14,4.4,80.10000000000002,-36.0300000000002,0.41000000000000014,FAIL_POWER,OK,logic_combo_3,artifacts/sessions/sess_00ea8382/rtl_before.sv,artifacts/sessions/sess_00ea8382/rtl_after_sugg_1.sv,artifacts/sessions/sess_00ea8382/rtl_diff_sugg_1.patch,POWER failure observed; consider clock gating / enable conditions (future work).,,,,
sess_00ea8382,sugg_c8b0b45f,modify,ppa_violation,0.75,2587,500.0,2600.0,6.0,719.98,3014.97,4.57,600.71,3616.99,4.54,-119.26999999999998,602.02,-0.03000000000000025,686.6,3430.56,4.41,85.88999999999999,-186.42999999999984,-0.1299999999999999,FAIL_POWER,OK,logic_combo_3,artifacts/sessions/sess_00ea8382/rtl_before.sv,artifacts/sessions/sess_00ea8382/rtl_after_sugg_1.sv,artifacts/sessions/sess_00ea8382/rtl_diff_sugg_1.patch,POWER failure observed; consider clock gating / enable conditions (future work).,,,,
sess_01be1311,sugg_73c7bd05,modify,ppa_violation,0.69,3745,350.0,3500.0,4.0,294.48,3770.8,4.98,247.81,3769.96,5.42,-46.670000000000016,-0.8400000000001455,0.4399999999999995,282.48,3588.72,4.82,34.670000000000016,-181.24000000000024,-0.5999999999999996,FAIL_AREA,OK,shifter,artifacts/sessions/sess_01be1311/rtl_before.sv,artifacts/sessions/sess_01be1311/rtl_after_sugg_1.sv,artifacts/sessions/sess_01be1311/rtl_diff_sugg_1.patch,AREA failure observed; RTL deltas weak → needs deeper RTL-aware analysis.,,,,
sess_01be1311,sugg_f415db98,modify,meets_targets,0.68,1389,350.0,3500.0,4.0,294.48,3770.8,4.98,328.29,4281.4,3.99,33.81,510.59999999999945,-0.9900000000000002,269.82,4311.71,4.72,-58.47000000000003,30.3100000000004,0.7299999999999995,PASS,OK,shifter,artifacts/sessions/sess_01be1311/rtl_before.sv,artifacts/sessions/sess_01be1311/rtl_after_sugg_1.sv,artifacts/sessions/sess_01be1311/rtl_diff_sugg_1.patch,N/A,,,,
sess_01ce2f3c,sugg_5c753ab8,modify,ppa_violation,0.87,4165,500.0,2600.0,6.0,630.4,2964.67,6.4,537.8,3267.38,5.88,-92.60000000000002,302.71000000000004,-0.5200000000000005,528.04,3075.88,6.17,-9.759999999999991,-191.5,0.29000000000000004,FAIL_POWER,OK,logic_combo_3,artifacts/sessions/sess_01ce2f3c/rtl_before.sv,artifacts/sessions/sess_01ce2f3c/rtl_after_sugg_1.sv,artifacts/sessions/sess_01ce2f3c/rtl_diff_sugg_1.patch,POWER failure observed; consider clock gating / enable conditions (future work).,,,,
sess_01ce2f3c,sugg_613f9774,modify,ppa_violation,0.42,1478,500.0,2600.0,6.0,630.4,2964.67,6.4,508.27,3126.78,5.32,-122.13,162.11000000000013,-1.08,541.36,3007.99,6.03,33.09000000000003,-118.79000000000042,0.71,FAIL_POWER,OK,logic_combo_3,artifacts/sessions/sess_01ce2f3c/rtl_before.sv,artifacts/sessions/sess_01ce2f3c/rtl_after_sugg_1.sv,artifacts/sessions/sess_01ce2f3c/rtl_diff_sugg_1.patch,POWER failure observed; consider clock gating / enable conditions (future work).,,,,
sess_02eea89a,sugg_edddf905,reject,ppa_violation,0.4,3760,300.0,3200.0,3.0,206.98,3774.52,4.64,229.38,3506.1,5.07,22.400000000000006,-268.4200000000001,0.4300000000000006,204.37,3570.19,4.94,-25.00999999999999,64.09000000000015,-0.1299999999999999,FAIL_AREA,OK,mux,artifacts/sessions/sess_02eea89a/rtl_before.sv,artifacts/sessions/sess_02eea89a/rtl_after_sugg_1.sv,artifacts/sessions/sess_02eea89a/rtl_diff_sugg_1.patch,AREA failure observed; RTL deltas weak → needs deeper RTL-aware analysis.,,,,
sess_02eea89a,sugg_dc0f1478,modify,ppa_violation,0.83,2333,300.0,3200.0,3.0,206.98,3774.52,4.64,223.63,4160.64,4.27,16.650000000000006,386.12000000000035,-0.3700000000000001,169.05,3992.2,3.97,-54.579999999999984,-168.4400000000005,-0.2999999999999994,FAIL_AREA,OK,mux,artifacts/sessions/sess_02eea89a/rtl_before.sv,artifacts/sessions/sess_02eea89a/rtl_after_sugg_1.sv,artifacts/sessions/sess_02eea89a/rtl_diff_sugg_1.patch,AREA failure observed; RTL deltas weak → needs deeper RTL-aware analysis.,,,,
sess_02eea89a,sugg_6234e697,reject,ppa_violation,0.36,589,300.0,3200.0,3.0,206.98,3774.52,4.64,172.43,3580.44,4.99,-34.54999999999998,-194.07999999999993,0.35000000000000053,183.71,4046.28,3.89,11.280000000000001,465.84000000000015,-1.1,FAIL_AREA,OK,mux,artifacts/sessions/sess_02eea89a/rtl_before.sv,artifacts/sessions/sess_02eea89a/rtl_after_sugg_1.sv,artifacts/sessions/sess_02eea89a/rtl_diff_sugg_1.patch,AREA failure observed; RTL deltas weak → needs deeper RTL-aware analysis.,,,,
